,titulo,descripcion,precio,ciudad,fecha_ini,fecha_fin
0,Free tour por Valencia,En este free tour por Valencia descubriremos el conjunto monumental de su centro histórico apreciando detalles que pasan inadvertidos a los visitantes.,0,valencia,2024-11-01,2024-11-03
1,Entrada al Oceanogràfic,Preparaos para adentraros en el increíble mundo marino con esta entrada para el Oceanogràfic de la Ciudad de las Artes y de las Ciencias de Valencia.,37,valencia,2024-11-01,2024-11-03
2,Tour de Valencia al completo con entradas,"¿Queréis conocer los lugares más famosos de Valencia? En este tour visitaremos la Lonja de la Seda, la iglesia de San Nicolás y la catedral. ¡Incluye entradas!",39,valencia,2024-11-01,2024-11-03
3,Entrada a la Ciudad de las Artes y las Ciencias,Comprad ya la entrada a la Ciudad de las Artes y las Ciencias de Valencia y obtendréis la mejor combinación para visitar este centro de divulgación científica.,45.20,valencia,2024-11-01,2024-11-03
4,Traslados en Valencia,"Servicio privado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",35,valencia,2024-11-01,2024-11-03
5,Excursión a La Albufera,"En esta excursión al Parque Natural de la Albufera de Valencia visitaremos este conjunto de bosques, arrozales y lagos. ¡Un día único junto al Mediterráneo!",55,valencia,2024-11-01,2024-11-03
6,Autobús turístico de Valencia,Descubrid la capital del Turia a bordo del autobús turístico de Valencia. Podréis subir y bajar tantas veces como deseéis en diferentes puntos de la ciudad.,22,valencia,2024-11-01,2024-11-03
7,Excursión a las cuevas de San José,"Viajaremos hasta Castellón y visitaremos las laberínticas cuevas de San José, en las que recorreremos en barca el río subterráneo navegable más largo de Europa.",69,valencia,2024-11-01,2024-11-03
8,Entrada al Centro de Arte Hortensia Herrero,¿Os gusta la escultura y pintura contemporáneas? Con esta entrada al Centro de Arte Hortensia Herrero visitaréis este gran centro expositivo de Valencia.,9,valencia,2024-11-01,2024-11-03
9,Tour privado por Valencia,Disfrutad de Valencia con este tour privado. Dispondréis de un guía en exclusiva y recorreréis los rincones más emblemáticos de la ciudad de la paella.,120,valencia,2024-11-01,2024-11-03
10,Free tour por la Valencia macabra,La capital del Turia ha sido el escenario de muchas historias que os harán temblar. ¿Os atrevéis a descubrirlas en este free tour por la Valencia macabra?,0,valencia,2024-11-01,2024-11-03
11,Tarjeta eSIM Civitatis España,"Si vais a viajar por España, con esta tarjeta eSIM con Internet podréis conectaros fácilmente a la red y mantener el contacto con vuestros familiares y amigos.",4.10,valencia,2024-11-01,2024-11-03
12,Free tour de los misterios y leyendas de Valencia,"En el free tour de los misterios y leyendas de Valencia descubriremos el lado más sórdido de la ciudad reviviendo ejecuciones, crímenes, epidemias y asaltos.",0,valencia,2024-11-01,2024-11-03
13,Entrada a la iglesia de San Nicolás,Con esta entrada a la iglesia de San Nicolás podréis visitar la Capilla Sixtina valenciana. ¡Quedaréis impresionados ante la decoración de sus bóvedas!,11,valencia,2024-11-01,2024-11-03
14,Cena con espectáculo flamenco en Valencia,"Animaos a vivir una noche llena de duende asistiendo a este espectáculo flamenco en Valencia. Además, disfrutaréis de una completa y deliciosa cena.",55,valencia,2024-11-01,2024-11-03
15,Entrada a Bioparc Valencia,Con la entrada a Bioparc Valencia os sumergiréis en la vida salvaje de los 5 continentes y conoceréis cómo se comportan los animales en su hábitat natural.,29.80,valencia,2024-11-01,2024-11-03
16,Paseo en catamarán por Valencia,En este paseo en catamarán a vela por Valencia viviréis una experiencia única mientras disfrutáis de unas excelentes vistas de la ciudad desde el mar.,15,valencia,2024-11-01,2024-11-03
17,Excursión a Peñíscola,En esta excursión a Peñíscola desde Valencia para conocer la historia del Papa Luna y descubrir el encanto de uno de los pueblos más bonitos de España.,75,valencia,2024-11-01,2024-11-03
18,"Excursión a Altea, Villajoyosa y Benidorm","En esta excursión a Altea, Villajoyosa y Benidorm visitaremos tres de las localidades más bonitas de la provincia de Alicante. ¡Os cautivarán!",95,valencia,2024-11-01,2024-11-03
19,Entrada al Museo Iluziona de Valencia,Descubrid las leyendas de Valencia a través de ilusiones ópticas con esta entrada al Museo Iluziona. ¡Preparaos para desafiar vuestra percepción de la realidad!,11,valencia,2024-11-01,2024-11-03
