,id,price,origin,destination,duration_minutes,departure,arrival,carriers
0,13870-2411011455--32222-0-9772-2411011610,126.55,Madrid,Barcelona,75,2024-11-01T14:55:00,2024-11-01T16:10:00,Iberia
1,9772-2411031515--32222-0-13870-2411031640,126.55,Barcelona,Madrid,85,2024-11-03T15:15:00,2024-11-03T16:40:00,Iberia
2,13870-2411010715--32222-0-9772-2411010830,122.06,Madrid,Barcelona,75,2024-11-01T07:15:00,2024-11-01T08:30:00,Iberia
3,9772-2411031515--32222-0-13870-2411031640,122.06,Barcelona,Madrid,85,2024-11-03T15:15:00,2024-11-03T16:40:00,Iberia
4,13870-2411010730--32680-0-9772-2411010855,119.03,Madrid,Barcelona,85,2024-11-01T07:30:00,2024-11-01T08:55:00,Air Europa
5,9772-2411032030--31685-0-13870-2411032200,119.03,Barcelona,Madrid,90,2024-11-03T20:30:00,2024-11-03T22:00:00,Vueling Airlines
6,13870-2411011600--32222-0-9772-2411011715,128.91,Madrid,Barcelona,75,2024-11-01T16:00:00,2024-11-01T17:15:00,Iberia
7,9772-2411031515--32222-0-13870-2411031640,128.91,Barcelona,Madrid,85,2024-11-03T15:15:00,2024-11-03T16:40:00,Iberia
8,13870-2411011455--32222-0-9772-2411011610,130.17,Madrid,Barcelona,75,2024-11-01T14:55:00,2024-11-01T16:10:00,Iberia
9,9772-2411031330--32222-0-13870-2411031455,130.17,Barcelona,Madrid,85,2024-11-03T13:30:00,2024-11-03T14:55:00,Iberia
10,13870-2411011800--32222-0-9772-2411011915,129.39,Madrid,Barcelona,75,2024-11-01T18:00:00,2024-11-01T19:15:00,Iberia
11,9772-2411031515--32222-0-13870-2411031640,129.39,Barcelona,Madrid,85,2024-11-03T15:15:00,2024-11-03T16:40:00,Iberia
12,13870-2411011905--32222-0-9772-2411012020,126.52,Madrid,Barcelona,75,2024-11-01T19:05:00,2024-11-01T20:20:00,Iberia
13,9772-2411031515--32222-0-13870-2411031640,126.52,Barcelona,Madrid,85,2024-11-03T15:15:00,2024-11-03T16:40:00,Iberia
14,13870-2411011800--32222-0-9772-2411011915,129.49,Madrid,Barcelona,75,2024-11-01T18:00:00,2024-11-01T19:15:00,Iberia
15,9772-2411031330--32222-0-13870-2411031455,129.49,Barcelona,Madrid,85,2024-11-03T13:30:00,2024-11-03T14:55:00,Iberia
16,13870-2411010745--32222-0-9772-2411010900,128.33,Madrid,Barcelona,75,2024-11-01T07:45:00,2024-11-01T09:00:00,Iberia
17,9772-2411031515--32222-0-13870-2411031640,128.33,Barcelona,Madrid,85,2024-11-03T15:15:00,2024-11-03T16:40:00,Iberia
18,13870-2411010715--32222-0-9772-2411010830,122.05,Madrid,Barcelona,75,2024-11-01T07:15:00,2024-11-01T08:30:00,Iberia
19,9772-2411031330--32222-0-13870-2411031455,122.05,Barcelona,Madrid,85,2024-11-03T13:30:00,2024-11-03T14:55:00,Iberia
